,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007
count,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
mean,1252.5724658211539,1385.2360622557694,1598.0788248461538,2050.3638008576927,2339.615674198077,2585.9385084634623,2481.5929597538457,2282.668991259615,2281.8103332442306,2378.759555101923,2599.385158890385,3089.0326047365384
std,982.9521155384167,1134.508918377396,1461.8391887556484,2847.7176034350878,3286.853884009097,4142.398706725294,3242.632752739704,2566.5319467958197,2644.0756023219724,2820.7281171070044,2972.651307670066,3618.163491440354
min,298.8462121,335.99711510000003,355.2032273,412.97751360000007,464.0995039,502.31973339999996,462.2114149,389.87618460000004,410.89682389999996,312.188423,241.16587650000002,277.55185869999997
25%,534.99055405,606.9543547249999,673.32904605,779.815647875,815.919804075,805.6121251,828.6568544749998,764.5987585999999,743.9084966999999,791.9019663749999,780.5778239749999,862.9515369500001
50%,987.0255685499999,1024.0229869999998,1133.7836774999998,1210.3763795,1443.372508,1399.638836,1323.7283055,1219.585563,1161.6313575,1179.8831145,1215.6832175,1452.2670775000001
75%,1454.886645,1573.040442,1702.21924675,1890.112274,2292.25861325,2841.2820252500005,2787.58227075,2786.3108852500004,2707.8960767500002,2856.38603075,3314.8871805,3993.5015832499994
max,4725.295531000001,5487.104219,6757.0308159999995,18772.75169,21011.497209999998,21951.21176,17364.275380000003,11864.408440000001,13522.157519999999,14722.841880000002,12521.71392,13206.48452
